band,correction,dswe,sat_corr,sat_to,method,intercept,slope,B1,B2,min_in_val,max_in_val
med_Green,Roy,DSWE1a,LS5,LS7,deming,-0.0037275791377406973,0.9867231655726539,NA,NA,-0.004,0.2
med_Red,Roy,DSWE1a,LS5,LS7,lm,-3.4828148357428357e-4,0.8987785837430957,NA,NA,-0.008,0.2
med_Red,Roy,DSWE1a,LS5,LS7,deming,-0.005087544769858589,1.0397524631512516,NA,NA,-0.008,0.2
med_Nir,Roy,DSWE1a,LS5,LS7,lm,0.00602412784737413,0.7350382258510799,NA,NA,-0.006,0.2
med_Nir,Roy,DSWE1a,LS5,LS7,deming,-0.0025400995060041584,1.0118617900198423,NA,NA,-0.006,0.2
med_Swir1,Roy,DSWE1a,LS5,LS7,lm,0.006561611045860125,0.42175410448116407,NA,NA,-0.008,0.098
med_Swir1,Roy,DSWE1a,LS5,LS7,deming,6.683481736401654e-4,0.7979501917348412,NA,NA,-0.008,0.098
med_Swir2,Roy,DSWE1a,LS5,LS7,lm,0.004634932352794287,0.37762987184967783,NA,NA,-0.007,0.084
med_Swir2,Roy,DSWE1a,LS5,LS7,deming,-9.710979788004053e-5,0.8529322707856983,NA,NA,-0.007,0.084
med_SurfaceTemp,Roy,DSWE1a,LS5,LS7,lm,29.75161364724352,0.8949330258528618,NA,NA,273.15,313.02
med_SurfaceTemp,Roy,DSWE1a,LS5,LS7,deming,7.172592107597494,0.9733220455674823,NA,NA,273.15,313.02
med_Blue,Roy,DSWE1a,LS8,LS7,lm,0.021288264888649135,0.79547440299253,NA,NA,-0.01,0.182
med_Blue,Roy,DSWE1a,LS8,LS7,deming,0.011919290512675072,1.3587140857451583,NA,NA,-0.01,0.182
med_Green,Roy,DSWE1a,LS8,LS7,lm,0.015937675307451087,0.7993204019698013,NA,NA,-0,0.199
med_Green,Roy,DSWE1a,LS8,LS7,deming,0.009089375349236588,1.0057831896946614,NA,NA,-0,0.199
med_Red,Roy,DSWE1a,LS8,LS7,lm,0.013986606739787705,0.8389837026383105,NA,NA,-0.01,0.2
med_Red,Roy,DSWE1a,LS8,LS7,deming,0.008649720427547702,1.0399843662301707,NA,NA,-0.01,0.2
med_Nir,Roy,DSWE1a,LS8,LS7,lm,0.02285110184384964,0.5266810946153081,NA,NA,-0.01,0.199
med_Nir,Roy,DSWE1a,LS8,LS7,deming,0.015324305505548237,0.8992350674777807,NA,NA,-0.01,0.199
med_Swir1,Roy,DSWE1a,LS8,LS7,lm,0.010398478971788699,0.40062843165338224,NA,NA,-0.01,0.1
med_Swir1,Roy,DSWE1a,LS8,LS7,deming,1.4460438062528365e-4,1.2918616677536983,NA,NA,-0.01,0.1
med_Swir2,Roy,DSWE1a,LS8,LS7,lm,0.006281374477456642,0.38324461222241646,NA,NA,-0.001,0.092
med_Swir2,Roy,DSWE1a,LS8,LS7,deming,-0.0018764458892817253,1.3915712275474863,NA,NA,-0.001,0.092
med_SurfaceTemp,Roy,DSWE1a,LS8,LS7,lm,37.169389259919605,0.8667079567637016,NA,NA,273.15,313.09
med_SurfaceTemp,Roy,DSWE1a,LS8,LS7,deming,19.561694428390403,0.9274455892552316,NA,NA,273.15,313.09
med_Blue,Roy,DSWE1a,LS7,LS8,lm,-0.0021083246366318444,0.5408654745246825,NA,NA,-0.008,0.195
med_Blue,Roy,DSWE1a,LS7,LS8,deming,-0.008772229355073071,0.7359827487743992,NA,NA,-0.008,0.195
med_Green,Roy,DSWE1a,LS7,LS8,lm,-3.707310002727455e-4,0.7833611410266784,NA,NA,-0.006,0.2
med_Green,Roy,DSWE1a,LS7,LS8,deming,-0.009037607489499425,0.9942619344594333,NA,NA,-0.006,0.2
med_Red,Roy,DSWE1a,LS7,LS8,lm,-0.0019067168995552462,0.7796927034609279,NA,NA,-0.008,0.2
med_Red,Roy,DSWE1a,LS7,LS8,deming,-0.008317339315382699,0.9615578133220469,NA,NA,-0.008,0.2
med_Nir,Roy,DSWE1a,LS7,LS8,lm,6.627392360821848e-4,0.5784637496594416,NA,NA,-0.01,0.2
med_Nir,Roy,DSWE1a,LS7,LS8,deming,-0.017041988906605316,1.1120712152597652,NA,NA,-0.01,0.2
med_Swir1,Roy,DSWE1a,LS7,LS8,lm,0.006346947436752605,0.3445487597268555,NA,NA,-0.005,0.098
med_Swir1,Roy,DSWE1a,LS7,LS8,deming,-1.1228672467022132e-4,0.774100066759046,NA,NA,-0.005,0.098
med_Swir2,Roy,DSWE1a,LS7,LS8,lm,0.005158836213399582,0.31532513252495636,NA,NA,-0.006,0.082
med_Swir2,Roy,DSWE1a,LS7,LS8,deming,0.001348392196786157,0.7186168679618682,NA,NA,-0.006,0.082
med_SurfaceTemp,Roy,DSWE1a,LS7,LS8,lm,5.59669722319371,0.9853579226939169,NA,NA,273.15,313.03
med_SurfaceTemp,Roy,DSWE1a,LS7,LS8,deming,-21.097282493581396,1.0782486843303203,NA,NA,273.15,313.03
med_Blue,Gardner,DSWE1,LS5,LS7,poly,0.005356026274493057,NA,0.6812341802063274,2.05442375901582,0.01,0.097
med_Green,Gardner,DSWE1,LS5,LS7,poly,0.006038634431406488,NA,0.6032667828591515,1.241954371964825,0.012,0.143
med_Red,Gardner,DSWE1,LS5,LS7,poly,0.002164944215393055,NA,0.7729281842940212,0.013069600679647646,0.007,0.149
med_Nir,Gardner,DSWE1,LS5,LS7,poly,-4.435628861401405e-4,NA,0.9204488251371363,-1.5448634410077928,0.011,0.126
med_Swir1,Gardner,DSWE1,LS5,LS7,poly,0.0020005015598972727,NA,0.6899111037038562,2.426819086607519,0.002,0.053
med_Swir2,Gardner,DSWE1,LS5,LS7,poly,0.0011478080827238358,NA,0.6816754561485645,3.4263271227381993,-0.002,0.04
med_SurfaceTemp,Gardner,DSWE1,LS5,LS7,poly,245.5282320179874,NA,-0.6642813622237019,0.0027910633943000174,274.17,304.32
med_Blue,Gardner,DSWE1a,LS5,LS7,poly,0.005308210993717209,NA,0.6825963351035039,2.04573017020272,0.01,0.097
med_Green,Gardner,DSWE1a,LS5,LS7,poly,0.0060490885600041145,NA,0.6054090770300199,1.218372198526242,0.012,0.143
med_Red,Gardner,DSWE1a,LS5,LS7,poly,0.002010952315070169,NA,0.7797599988907132,-0.01787758828771836,0.007,0.149
med_Nir,Gardner,DSWE1a,LS5,LS7,poly,-3.798216537412982e-4,NA,0.9207553046475694,-1.5872492848709518,0.011,0.129
med_Swir1,Gardner,DSWE1a,LS5,LS7,poly,0.002136502211501602,NA,0.6821272045188427,2.4711196806912104,0.002,0.054
med_Swir2,Gardner,DSWE1a,LS5,LS7,poly,0.0012496122416873333,NA,0.6459704004667763,4.6624485359768055,-0.002,0.04
med_SurfaceTemp,Gardner,DSWE1a,LS5,LS7,poly,251.3322987954196,NA,-0.7046942552515014,0.0028612545404587443,274.17,304.35
med_Blue,Gardner,DSWE1,LS8,LS7,poly,0.01022451245740417,NA,1.2390250146566681,-3.4253503967769623,0.001,0.09
med_Green,Gardner,DSWE1,LS8,LS7,poly,0.00827330054790545,NA,0.7455206589446837,1.0048274903986418,0.005,0.131
med_Red,Gardner,DSWE1,LS8,LS7,poly,0.006754538977954645,NA,0.8977347148753164,0.44442167314082515,-0.002,0.123
med_Nir,Gardner,DSWE1,LS8,LS7,poly,0.013473516791269296,NA,0.7330605286463637,0.5134911110694206,-0.003,0.099
med_Swir1,Gardner,DSWE1,LS8,LS7,poly,0.002874181071067492,NA,0.9275480519714774,-0.28409423618504615,-0,0.047
med_Swir2,Gardner,DSWE1,LS8,LS7,poly,7.517425703214039e-4,NA,0.9711726010692456,-1.4142814047692662,0.001,0.037
med_SurfaceTemp,Gardner,DSWE1,LS8,LS7,poly,387.6000307300898,NA,-1.6040216792425925,0.004337974057489555,273.89,304.54
med_Blue,Gardner,DSWE1a,LS8,LS7,poly,0.01022915984249037,NA,1.2370936519884312,-3.297600671133801,0,0.089
med_Green,Gardner,DSWE1a,LS8,LS7,poly,0.008660955403741856,NA,0.7088962467312439,1.3626571554678464,0.005,0.13
med_Red,Gardner,DSWE1a,LS8,LS7,poly,0.00653756946921054,NA,0.9045667401616191,0.4907698417534001,-0.002,0.122
med_Nir,Gardner,DSWE1a,LS8,LS7,poly,0.013488703586221241,NA,0.7320948169037681,-0.7377234458652868,-0.003,0.123
